player_name,mph,rpm,n
Andrew Heaney,91.42944444444444,2429.911111111111,540
Antonio Senzatela,94.49078341013825,2158.5506912442397,434
Austin Voth,91.77459459459459,2238.4216216216214,370
Blake Snell,95.02576177285319,2402.9667590027702,361
Brandon Woodruff,96.51323076923077,2464.3384615384616,325
Chris Paddack,94.18782608695652,2177.404347826087,460
Cristian Javier,92.13763919821827,2382.982182628062,449
Danny Duffy,91.98006535947712,2173.90522875817,306
Dinelson Lamet,97.07272727272728,2497.0363636363636,330
Dylan Cease,97.39585253456221,2513.8133640552996,434
Garrett Richards,95.05147058823529,2621.7735294117647,340
German Marquez,95.93123209169055,2168.432664756447,349
Gerrit Cole,96.62875939849624,2497.8515037593984,532
Griffin Canning,92.55128205128206,2359.826923076923,312
Jacob deGrom,98.47818181818182,2463.9714285714285,385
Johnny Cueto,91.3703947368421,2222.9144736842104,304
Jon Gray,94.01100628930817,2148.12893081761,318
Jordan Lyles,92.18438438438439,2136.834834834835,333
Julio Urias,94.18712871287129,2475.710396039604,404
Justin Dunn,91.09619047619047,2248.431746031746,315
Kevin Gausman,95.08946015424165,2306.421593830334,389
Kris Bubic,91.50661577608143,2199.5776081424938,393
Lance Lynn,94.03242375601926,2495.430176565008,623
Lucas Giolito,93.92077393075357,2337.5865580448067,491
Luke Weaver,94.05162094763092,2461.1820448877806,401
Matthew Boyd,91.75692307692307,2303.9538461538464,390
Max Fried,93.16312684365782,2127.283185840708,339
Max Scherzer,94.631222707423575,2467.7991266375548,458
Mike Minor,90.46368286445013,2576.897698209719,391
Nick Margevicius,90.28170347003154,2145.0757097791798,317
Robbie Ray,93.88906976744187,2425.8837209302324,430
Ross Stripling,91.75427631578947,2288.3388157894738,304
Shane Bieber,94.13423180592991,2358.277628032345,371
Spencer Turnbull,93.69065155807365,2489.6883852691217,353
Trevor Bauer,93.54523227383864,2773.8630806845968,409
Trevor Williams,91.53494318181818,2266.4289772727275,352
Tyler Glasnow,96.77894736842106,2416.932631578947,475
Tyler Mahle,93.79193548387097,2386.19623655914,372
Zac Gallen,93.26771428571429,2393.2542857142857,350
Zack Greinke,87.84972222222223,2328.161111111111,360
Zack Wheeler,96.98461538461538,2336.5576923076924,312
